frame_nmr,car_id,car_bbox,car_class,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
35,2,295.48968505859375 378.86859130859375 523.7901611328125 544.2969970703125,car,371.7548828125 490.5096130371094 435.2216796875 507.8668212890625,0.27272704243659973,KH15ZAI,0.049227830888972327
121,7,779.4117431640625 331.4700012207031 995.663330078125 510.10101318359375,car,860.1712646484375 445.6025390625 905.2584228515625 460.1787109375,0.26731640100479126,EYGIMB,0.32255426351213723
122,7,780.1845245361328 333.01269912719727 996.5727005004883 512.0438995361328,0,860.6878662109375 447.1270980834961 906.3817443847656 462.08716583251953,0,0,0
123,7,780.9573059082031 334.5553970336914 997.4820709228516 513.9867858886719,0,861.2044677734375 448.6516571044922 907.5050659179688 463.99562072753906,0,0,0
124,7,781.7300872802734 336.09809494018555 998.3914413452148 515.9296722412109,0,861.7210693359375 450.1762161254883 908.6283874511719 465.9040756225586,0,0,0
125,7,782.5028686523438 337.6407928466797 999.3008117675781 517.87255859375,0,862.2376708984375 451.7007751464844 909.751708984375 467.8125305175781,0,0,0
126,7,783.2756500244141 339.1834907531738 1000.2101821899414 519.8154449462891,0,862.7542724609375 453.22533416748047 910.8750305175781 469.72098541259766,0,0,0
127,7,784.0484313964844 340.72618865966797 1001.1195526123047 521.7583312988281,0,863.2708740234375 454.74989318847656 911.9983520507812 471.6294403076172,0,0,0
128,7,784.8212127685547 342.2688865661621 1002.028923034668 523.7012176513672,0,863.7874755859375 456.27445220947266 913.1216735839844 473.5378952026367,0,0,0
129,7,785.593994140625 343.81158447265625 1002.9382934570312 525.6441040039062,car,864.3040771484375 457.79901123046875 914.2449951171875 475.44635009765625,0.3277059495449066,EXEINED,0.40998420752205855
130,7,781.3959350585938 345.36767578125 1004.415771484375 528.2060546875,car,865.5103759765625 462.809326171875 914.7366943359375 476.84234619140625,0.36889931559562683,EY61MBC,0.33585482062193456
131,7,781.3963012695312 346.6485900878906 1005.2282104492188 529.4481811523438,car,868.0819091796875 463.21649169921875 917.5550537109375 477.59259033203125,0.4666796624660492,EY61NEG,0.44255857569824514
132,7,782.7068481445312 348.35301208496094 1006.3231811523438 532.4151306152344,0,868.5731201171875 466.1103820800781 917.400634765625 480.18975830078125,0,0,0
133,7,784.0173950195312 350.05743408203125 1007.4181518554688 535.382080078125,car,869.0643310546875 469.0042724609375 917.2462158203125 482.78692626953125,0.5634927749633789,EYEIMEC,0.2053696903278055
134,7,785.1214599609375 351.3179626464844 1008.1024169921875 536.792724609375,car,867.8330078125 470.3160400390625 912.33837890625 484.0146484375,0.6382700204849243,JEYGIB,0.216731182156495
135,7,786.932373046875 352.92431640625 1009.17431640625 540.5037841796875,car,868.6300048828125 471.7500305175781 918.6956787109375 487.5432434082031,0.5654764771461487,EYBIBG,0.2631403868602666
136,7,788.2340698242188 355.9085998535156 1010.9956665039062 542.2688598632812,car,868.8646240234375 475.0916748046875 919.526123046875 491.25604248046875,0.25779902935028076,EEBC,0.5181017518043518
137,7,788.8204040527344 357.81494140625 1011.7922973632812 543.8342590332031,0,869.1291809082031 477.7247314453125 920.0962829589844 492.1662292480469,0,0,0
138,7,789.40673828125 359.7212829589844 1012.5889282226562 545.399658203125,car,869.3937377929688 480.3577880859375 920.6664428710938 493.076416015625,0.5390141606330872,EYEINBG,0.7643992464961511
139,7,788.511736188616 361.400155203683 1013.7117222377232 545.2010149274554,0,869.744123186384 481.79854910714283 921.577619280134 495.42171805245533,0,0,0
140,7,787.6167340959821 363.0790274483817 1014.8345162527902 545.0023716517857,0,870.0945085797991 483.2393101283482 922.4887956891741 497.7670200892857,0,0,0
141,7,786.7217320033482 364.75789969308033 1015.9573102678571 544.803728376116,0,870.4448939732143 484.68007114955356 923.3999720982143 500.11232212611606,0,0,0
